id,id_cliente_origen,id_cuenta_origen,id_cliente_destino,id_cuenta_destino,timestamp,monto,tipo
2501,1,1001,2,1002,2020-01-01 08:00:00,3146970.21,INGRESO
2502,1,1001,2,1002,2020-01-01 08:45:29,498782.00,EGRESO
2503,1,1001,2,1002,2020-01-01 10:31:10,1061198.20,INGRESO
2504,1,1001,2,1002,2020-01-01 19:32:21,4314934.81,INGRESO
2505,1,1001,2,1002,2020-01-01 19:42:55,6695897.48,INGRESO
2506,1,1001,2,1002,2020-01-01 20:36:31,5796348.72,EGRESO
2507,1,1001,2,1002,2020-01-02 01:33:09,9743884.23,EGRESO
2508,1,1001,2,1002,2020-01-02 01:41:59,3455711.82,EGRESO
2509,1,1001,2,1002,2020-01-02 02:23:39,9215217.34,INGRESO
2510,1,1001,2,1002,2020-01-02 02:28:10,5374858.76,INGRESO
2511,1,1001,2,1002,2020-01-02 21:29:54,6615546.51,INGRESO
2512,1,1001,2,1002,2020-01-03 02:24:03,7458366.64,EGRESO
2513,1,1001,2,1002,2020-01-03 07:15:24,2224070.55,INGRESO
2514,1,1001,2,1002,2020-01-03 13:13:52,5660104.42,EGRESO
2515,1,1001,2,1002,2020-01-03 19:26:18,4514258.57,INGRESO
2516,1,1001,2,1002,2020-01-04 03:53:59,92944.12,INGRESO
2517,1,1001,2,1002,2020-01-04 07:29:24,2649626.90,EGRESO
2518,1,1001,2,1002,2020-01-04 08:58:39,3405287.54,EGRESO
2519,1,1001,2,1002,2020-01-04 13:58:31,6182819.66,EGRESO
2520,1,1001,2,1002,2020-01-05 01:13:58,2545411.62,EGRESO
2521,1,1001,2,1002,2020-01-05 01:15:12,2298677.47,EGRESO
2522,1,1001,2,1002,2020-01-05 03:11:04,7785863.28,EGRESO
2523,1,1001,2,1002,2020-01-05 04:04:36,2980034.22,INGRESO
2524,1,1001,2,1002,2020-01-05 07:23:48,2013609.69,INGRESO
2525,1,1001,2,1002,2020-01-05 23:05:22,6851864.49,INGRESO
2526,1,1001,2,1002,2020-01-06 03:38:11,3298263.81,INGRESO
2527,1,1001,2,1002,2020-01-06 10:27:45,7190471.48,EGRESO
2528,1,1001,2,1002,2020-01-06 17:22:16,6490580.62,INGRESO
2529,1,1001,2,1002,2020-01-06 22:59:36,4896010.14,INGRESO
2530,1,1001,2,1002,2020-01-06 23:01:11,4343748.36,EGRESO
2531,1,1001,2,1002,2020-01-07 03:33:46,6511470.61,INGRESO
2532,1,1001,2,1002,2020-01-07 04:49:47,5272329.07,EGRESO
2533,1,1001,2,1002,2020-01-07 07:27:48,1016691.41,INGRESO
2534,1,1001,2,1002,2020-01-07 23:31:54,3965192.44,EGRESO
2535,1,1001,2,1002,2020-01-08 00:45:41,173022.85,INGRESO
2536,1,1001,2,1002,2020-01-08 09:30:30,9442145.43,INGRESO
2537,1,1001,2,1002,2020-01-08 10:43:15,5544590.45,INGRESO
2538,1,1001,2,1002,2020-01-08 11:37:10,2275609.03,EGRESO
2539,1,1001,2,1002,2020-01-08 12:15:07,35885.64,INGRESO
2540,1,1001,2,1002,2020-01-08 12:46:33,4862338.44,INGRESO
2541,1,1001,2,1002,2020-01-08 15:25:43,3999793.88,EGRESO
2542,1,1001,2,1002,2020-01-09 01:45:44,5384179.24,INGRESO
2543,1,1001,2,1002,2020-01-09 09:20:46,6817063.17,EGRESO
2544,1,1001,2,1002,2020-01-09 10:17:20,1164270.64,INGRESO
2545,1,1001,2,1002,2020-01-09 13:23:57,3195738.30,EGRESO
2546,1,1001,2,1002,2020-01-10 11:40:51,7914994.79,EGRESO
2547,1,1001,2,1002,2020-01-10 17:20:01,550837.09,INGRESO
2548,1,1001,2,1002,2020-01-10 18:20:25,7825697.18,INGRESO
2549,1,1001,2,1002,2020-01-10 21:55:06,3210305.10,INGRESO
2550,1,1001,2,1002,2020-01-11 01:07:40,7179567.27,EGRESO
2551,1,1001,2,1002,2020-01-11 01:08:15,5719642.89,EGRESO
2552,1,1001,2,1002,2020-01-11 10:28:22,3816066.28,INGRESO
2553,1,1001,2,1002,2020-01-11 15:02:02,3693662.71,EGRESO
2554,1,1001,2,1002,2020-01-11 22:30:38,3816216.97,EGRESO
2555,1,1001,2,1002,2020-01-12 03:34:44,7522267.82,EGRESO
2556,1,1001,2,1002,2020-01-12 12:37:33,3925208.80,EGRESO
2557,1,1001,2,1002,2020-01-12 15:53:26,1544599.88,INGRESO
2558,1,1001,2,1002,2020-01-12 17:04:25,5030214.92,INGRESO
2559,1,1001,2,1002,2020-01-12 18:52:56,4123745.47,INGRESO
2560,1,1001,2,1002,2020-01-13 01:45:06,2670734.76,INGRESO
2561,1,1001,2,1002,2020-01-13 07:53:06,2910181.40,INGRESO
2562,1,1001,2,1002,2020-01-13 19:35:01,5870719.06,EGRESO
2563,1,1001,2,1002,2020-01-13 20:36:39,3172587.77,INGRESO
2564,1,1001,2,1002,2020-01-14 03:18:33,2465240.64,EGRESO
2565,1,1001,2,1002,2020-01-14 06:12:10,9422536.97,INGRESO
2566,1,1001,2,1002,2020-01-14 10:27:12,1741082.39,EGRESO
2567,1,1001,2,1002,2020-01-14 15:52:34,1361219.05,EGRESO
2568,1,1001,2,1002,2020-01-14 20:55:06,6881041.34,INGRESO
2569,1,1001,2,1002,2020-01-15 00:02:50,7501690.73,INGRESO
2570,1,1001,2,1002,2020-01-15 00:09:31,4173835.03,EGRESO
2571,1,1001,2,1002,2020-01-15 01:57:53,5376033.63,EGRESO
2572,1,1001,2,1002,2020-01-15 07:21:21,9370797.59,EGRESO
2573,1,1001,2,1002,2020-01-15 10:29:52,6425907.14,INGRESO
2574,1,1001,2,1002,2020-01-15 12:39:47,2299695.90,INGRESO
2575,1,1001,2,1002,2020-01-15 19:03:43,4960684.82,INGRESO
2576,1,1001,2,1002,2020-01-16 03:29:02,4460801.71,EGRESO
2577,1,1001,2,1002,2020-01-16 06:43:05,7219522.76,EGRESO
2578,1,1001,2,1002,2020-01-16 17:52:13,1106825.78,EGRESO
2579,1,1001,2,1002,2020-01-16 17:53:39,6922119.81,EGRESO
2580,1,1001,2,1002,2020-01-16 18:00:25,544572.10,EGRESO
2581,1,1001,2,1002,2020-01-17 05:47:06,3909419.63,EGRESO
2582,1,1001,2,1002,2020-01-17 09:29:14,4746131.18,INGRESO
2583,1,1001,2,1002,2020-01-17 12:38:26,5780902.48,EGRESO
2584,1,1001,2,1002,2020-01-17 18:45:20,5892471.78,INGRESO
2585,1,1001,2,1002,2020-01-17 21:02:40,9826883.20,INGRESO
2586,1,1001,2,1002,2020-01-17 21:34:27,3655264.81,EGRESO
2587,1,1001,2,1002,2020-01-18 07:49:03,1709900.17,EGRESO
2588,1,1001,2,1002,2020-01-18 08:25:46,8400108.92,INGRESO
2589,1,1001,2,1002,2020-01-18 10:19:49,6777699.99,INGRESO
2590,1,1001,2,1002,2020-01-18 18:08:35,1121119.59,EGRESO
2591,1,1001,2,1002,2020-01-19 02:56:41,4836382.27,INGRESO
2592,1,1001,2,1002,2020-01-19 04:00:07,4318154.44,EGRESO
2593,1,1001,2,1002,2020-01-19 06:02:10,4630809.87,INGRESO
2594,1,1001,2,1002,2020-01-19 17:51:03,4205300.40,INGRESO
2595,1,1001,2,1002,2020-01-19 23:10:31,4718880.78,INGRESO
2596,1,1001,2,1002,2020-01-20 03:48:24,8835659.67,EGRESO
2597,1,1001,2,1002,2020-01-20 11:53:33,1401305.61,INGRESO
2598,1,1001,2,1002,2020-01-20 20:26:04,1516090.13,INGRESO
2599,1,1001,2,1002,2020-01-20 22:51:44,7624321.66,INGRESO
2600,1,1001,2,1002,2020-01-21 03:08:14,7400080.12,EGRESO
2601,1,1001,2,1002,2020-01-21 03:27:51,228743.35,EGRESO
2602,1,1001,2,1002,2020-01-21 12:56:51,7946464.92,EGRESO
2603,1,1001,2,1002,2020-01-21 14:22:00,3169131.37,EGRESO
2604,1,1001,2,1002,2020-01-21 14:36:35,7329321.26,EGRESO
2605,1,1001,2,1002,2020-01-22 00:54:59,3660330.03,EGRESO
2606,1,1001,2,1002,2020-01-22 13:32:32,2224342.02,EGRESO
2607,1,1001,2,1002,2020-01-22 15:22:09,3650374.88,INGRESO
2608,1,1001,2,1002,2020-01-22 23:30:54,1989979.20,EGRESO
2609,1,1001,2,1002,2020-01-23 07:30:16,5919682.00,EGRESO
2610,1,1001,2,1002,2020-01-23 09:34:57,3107959.78,INGRESO
2611,1,1001,2,1002,2020-01-23 11:02:13,9825039.96,EGRESO
2612,1,1001,2,1002,2020-01-23 15:35:06,2207693.48,INGRESO
2613,1,1001,2,1002,2020-01-24 06:13:47,4004811.00,EGRESO
2614,1,1001,2,1002,2020-01-24 13:48:36,7198037.03,EGRESO
2615,1,1001,2,1002,2020-01-24 18:14:51,7551337.46,INGRESO
2616,1,1001,2,1002,2020-01-24 19:50:25,9191595.39,EGRESO
2617,1,1001,2,1002,2020-01-25 04:37:10,1804386.75,EGRESO
2618,1,1001,2,1002,2020-01-25 08:30:15,5268792.71,EGRESO
2619,1,1001,2,1002,2020-01-25 16:46:52,7769328.13,INGRESO
2620,1,1001,2,1002,2020-01-25 19:21:10,9931261.62,EGRESO
2621,1,1001,2,1002,2020-01-25 22:57:52,4571332.87,EGRESO
